"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"ジャパン建材(株)","4.2.15","4.6.15","","","7971518","",""
"ジャパン建材(株)","4.3.15","4.7.15","","","22020924","",""
"ジャパン建材(株)","4.4.15","4.8.15","","","40206556","",""
"ジャパン建材(株)","4.5.16","4.9.15","","","8475804","",""
"(株)プライムトラス","4.2.28","4.6.30","","","15814200","",""
"(株)プライムトラス","4.3.31","4.7.31","","","15223747","",""
"(株)プライムトラス","4.4.30","4.8.31","","","14286419","",""
"(株)プライムトラス","4.5.31","4.9.30","","","10329354","",""
"トーヨーマテリア(株)","4.2.25","4.6.5","","","5000000","",""
"トーヨーマテリア(株)","4.2.25","4.6.5","","","4995092","",""
"トーヨーマテリア(株)","4.3.15","4.6.25","","","3000000","",""
"トーヨーマテリア(株)","4.3.15","4.6.25","","","622080","",""
"トーヨーマテリア(株)","4.3.25","4.7.5","","","10000000","",""
"トーヨーマテリア(株)","4.3.25","4.7.5","","","765294","",""
"トーヨーマテリア(株)","4.4.15","4.7.25","","","5000000","",""
"トーヨーマテリア(株)","4.4.15","4.7.25","","","999070","",""
"トーヨーマテリア(株)","4.4.25","4.8.5","","","10000000","",""
"トーヨーマテリア(株)","4.4.25","4.8.5","","","3000000","",""
"トーヨーマテリア(株)","4.4.25","4.8.5","","","141322","",""
"トーヨーマテリア(株)","4.5.25","4.9.5","","","5000000","",""
"トーヨーマテリア(株)","4.5.25","4.9.5","","","2977460","",""
"野原住環境(株)","4.3.31","4.6.30","","","9102060","",""
"野原住環境(株)","4.4.28","4.7.31","","","10000000","",""
"計","","","","","","",""
