ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,maker_name_original,maker_name,maker_com_code,issue_date_rightside_date,issue_date,due_date_rightside_date,due_date,balance_rightside,balance,payment_bank_name_rightside,payment_bank_name,payment_bank_branch_name_rightside,payment_bank_branch_name,description_rightside,description
,,1,000,202365,202507,科目,科目,,名称(氏名),名称(氏名),所在地(住所),所在地(住所),,,期末現在高,期末現在高,摘要,摘要,,
,,2,000,202365,202507,売掛金,売掛金,,シンコー通商(株),シンコー通商(株),宮城県仙台市宮城野区扇町三丁目10番12号,宮城県仙台市宮城野区扇町三丁目10番12号,,,"58,751,113","58,751,113",,,,
,,3,000,202365,202507,売掛金,売掛金,,日建工学(株),日建工学(株),東京都新宿区西新宿6丁目10番1号,東京都新宿区西新宿6丁目10番1号,,,"34,814,450","34,814,450",,,,
,,4,000,202365,202507,売掛金,売掛金,,(株)T.M.C,(株)T.M.C,山形市瀬波1丁目10-9,山形市瀬波1丁目10-9,,,"15,806,410","15,806,410",,,,
,,5,000,202365,202507,売掛金,売掛金,,新興ランデック(株),新興ランデック(株),福島市飯坂町平野43-1,福島市飯坂町平野43-1,,,"14,906,733","14,906,733",,,,
,,6,000,202365,202507,売掛金,売掛金,,新興開発(株),新興開発(株),山形県西置賜郡白鷹町大字佐野原,山形県西置賜郡白鷹町大字佐野原,,,"10,255,345","10,255,345",,,,
,,7,000,202365,202507,売掛金,売掛金,,山形建設(株),山形建設(株),山形市清住町1-2-18,山形市清住町1-2-18,,,"9,088,772","9,088,772",,,,
,,8,000,202365,202507,売掛金,売掛金,,山形コンクリート製品工業協同組合,山形コンクリート製品工業協同組合,山形市小白川町4-32-7,山形市小白川町4-32-7,,,"9,018,691","9,018,691",,,,
,,9,000,202365,202507,売掛金,売掛金,,(株)畑山,(株)畑山,酒田市亀ケ崎四丁目20-24,酒田市亀ケ崎四丁目20-24,,,"8,201,732","8,201,732",,,,
,,10,000,202365,202507,売掛金,売掛金,,(株)鈴木工務店,(株)鈴木工務店,白鷹町鮎貝5783,白鷹町鮎貝5783,,,"6,582,829","6,582,829",,,,
,,11,000,202365,202507,売掛金,売掛金,,丸吉コンクリート工業(株),丸吉コンクリート工業(株),白鷹町畔藤9773,白鷹町畔藤9773,,,"6,577,637","6,577,637",,,,
,,12,000,202365,202507,売掛金,売掛金,,樋口建設(株),樋口建設(株),飯豊町大字萩生789,飯豊町大字萩生789,,,"5,846,192","5,846,192",,,,
,,13,000,202365,202507,売掛金,売掛金,,(株)大建工業,(株)大建工業,南陽市漆山1081,南陽市漆山1081,,,"5,647,939","5,647,939",,,,
,,14,000,202365,202507,売掛金,売掛金,,仙台東商事(株),仙台東商事(株),宮城県仙台市宮城野区萩野町1-11-1萩野町Mビル3階,宮城県仙台市宮城野区萩野町1-11-1萩野町Mビル3階,,,"5,543,230","5,543,230",,,,
,,15,000,202365,202507,売掛金,売掛金,,三省水工(株),三省水工(株),東京都渋谷区神泉町1-2,東京都渋谷区神泉町1-2,,,"5,229,994","5,229,994",,,,
,,16,000,202365,202507,売掛金,売掛金,,福島建設(株),福島建設(株),高畠町大字高畠697-2,高畠町大字高畠697-2,,,"4,963,875","4,963,875",,,,
,,17,000,202365,202507,売掛金,売掛金,,(株)黒澤技建,(株)黒澤技建,川西町大字下小松2972-2,川西町大字下小松2972-2,,,"3,950,342","3,950,342",,,,
,,18,000,202365,202507,売掛金,売掛金,,(株)日本都市,(株)日本都市,千葉県船橋市藤原6-23-3,千葉県船橋市藤原6-23-3,,,"3,328,820","3,328,820",,,,
,,19,000,202365,202507,売掛金,売掛金,,吾妻建設(株),吾妻建設(株),米沢市窪田町小瀬171-1,米沢市窪田町小瀬171-1,,,"2,496,131","2,496,131",,,,
,,20,000,202365,202507,売掛金,売掛金,,東栄コンクリート工業(株),東栄コンクリート工業(株),山形市富神台19,山形市富神台19,,,"2,281,213","2,281,213",,,,
,,21,000,202365,202507,売掛金,売掛金,,山建工業(株),山建工業(株),米沢市諸仏町4926-5,米沢市諸仏町4926-5,,,"1,740,134","1,740,134",,,,
,,22,000,202365,202507,売掛金,売掛金,,小笠原建設(株),小笠原建設(株),長井市九野本2217,長井市九野本2217,,,"1,646,414","1,646,414",,,,
,,23,000,202365,202507,売掛金,売掛金,,羽黒建設(有),羽黒建設(有),山形市小白川町3丁目2-37,山形市小白川町3丁目2-37,,,"1,628,627","1,628,627",,,,
,,24,000,202365,202507,売掛金,売掛金,,(株)アサヒ総建,(株)アサヒ総建,鶴岡市伊勢横内字畑福112-2,鶴岡市伊勢横内字畑福112-2,,,"1,560,141","1,560,141",,,,
,,25,000,202365,202507,売掛金,売掛金,,村山建設(株),村山建設(株),朝日町宮宿190,朝日町宮宿190,,,"1,541,892","1,541,892",,,,
,,26,000,202365,202507,売掛金,売掛金,,雄健工業,雄健工業,東京都港区芝大門2-1-16,東京都港区芝大門2-1-16,,,"1,507,000","1,507,000",,,,
,,27,000,202365,202507,売掛金,売掛金,,(株)竹田組,(株)竹田組,米沢市窪田町窪田876,米沢市窪田町窪田876,,,"1,489,939","1,489,939",,,,
,,28,000,202365,202507,合計,合計,,,,,,,,,,,,,
