"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"T7360001011937","(株)興和工機","R6.2.7","R6.4.30","商工組合中央金庫上野支店","","168974","みずほ銀行那覇支店",""
"T4360002012656","(有)ハードセンター","R6.2.14","R6.4.30","琉球銀行北谷支店","","180000","みずほ銀行那覇支店",""
"","(株)高千穂商会","R6.2.29","R6.4.30","愛知銀行昭和橋支店","","300000","みずほ銀行那覇支店",""
"","(株)大眞商会","R6.3.6","R6.4.30","琉球銀行宮古支店","","440000","",""
"T2360002012716","(有)中の町建材","R6.3.22","R6.4.30","琉球銀行北谷支店","","435000","",""
"","諸見左官材料販売","R6.3.25","R6.4.30","沖縄海邦銀行糸満支店","","550000","",""
"","(有)一建工業","R6.2.14","R6.5.1","沖縄海邦銀行嘉手納支店","","3080000","みずほ銀行那覇支店",""
"T7360001006508","(株)ナカモト","R6.2.20","R6.5.1","沖縄銀行古波蔵支店","","1689851","みずほ銀行那覇支店",""
"","デザインワークス(株)","R6.1.31","R6.5.2","沖縄銀行普天間支店","","1815000","みずほ銀行那覇支店",""
"","(株)スズトヨ","R6.1.16","R6.5.3","東邦銀行原町支店","","1850147","みずほ銀行那覇支店",""
"T9360001000995","(株)サンライト","R5.12.29","R6.5.5","琉球銀行本店営業部","","825143","みずほ銀行那覇支店",""
"","(株)ユハラ","R6.1.12","R6.5.5","りそな銀行尼崎支店","","529856","みずほ銀行那覇支店",""
"","(株)高千穂商会","R6.1.29","R6.5.5","三菱UFJ銀行春日町支店","","1000000","みずほ銀行那覇支店",""
"","(株)沖縄仮設","R6.2.29","R6.5.5","沖縄銀行大平支店","","1439662","みずほ銀行那覇支店",""
"","(株)創伸","R6.3.6","R6.5.5","三井住友銀行東京営業部","","150000","",""
"","キンキキカイ(株)","R6.3.29","R6.5.5","十八親和高来","","163350","",""
"T4360001008647","沖総管材(株)","R6.1.31","R6.5.7","琉球銀行田原支店","","450000","みずほ銀行那覇支店",""
"T3360001009191","(株)丸宮商会","R6.2.7","R6.5.7","琉球銀行牧港支店","","500000","みずほ銀行那覇支店",""
"","ビー・ゼイ工事(株)","R6.2.16","R6.5.7","沖縄銀行崇元寺支店","","580000","みずほ銀行那覇支店",""
"","(有)三共金物","R6.1.31","R6.5.8","沖縄海邦銀行南風原支店","","2800000","みずほ銀行那覇支店",""
"","セフテック(株)","R5.12.29","R6.5.10","三菱UFJ銀行本郷支店","","141012","みずほ銀行那覇支店",""
"T4360001009918","沖縄シャーリング(株)","R6.1.11","R6.5.10","沖縄銀行本店営業部","","2188333","みずほ銀行那覇支店",""
"","丸高商事","R6.1.11","R6.5.10","沖縄銀行石垣出張所","","2022939","みずほ銀行那覇支店",""
"計","","","","","","","",""
