"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"","屋富祖金物店","R6.1.29","R6.4.26","沖縄海邦銀行てだこ支店","","1950000","みずほ銀行那覇支店",""
"T5360001027398","(株)アイアット","R6.1.31","R6.4.26","西日本シティ銀行二日市支店","","1925000","みずほ銀行那覇支店",""
"","福岡フォームタイ(株)","R6.1.5","R6.4.27","西日本シティ銀行比恵支店","","101750","みずほ銀行那覇支店",""
"","(株)沖電工","R6.1.31","R6.4.28","沖縄銀行本店営業部","","4331025","みずほ銀行那覇支店",""
"","キンキキカイ(株)","R5.12.11","R6.4.30","筑邦銀行本店営業部","","426870","みずほ銀行那覇支店",""
"","初穂商亊(株)","R5.12.11","R6.4.30","三菱UFJ銀行今池支店","","1693450","みずほ銀行那覇支店",""
"T8180001097829","(株)インダストリーコーワ","R5.12.22","R6.4.30","三菱UFJ銀行尾張新川支店","","554400","みずほ銀行那覇支店",""
"T3360002007293","(有)なか総合金物商会","R5.12.29","R6.4.30","琉球銀行本店営業部","","705000","みずほ銀行那覇支店",""
"","(株)タダシ建設","R5.12.29","R6.4.30","沖縄銀行鳥堀支店","","808000","みずほ銀行那覇支店",""
"","(株)タダシ建設","R5.12.29","R6.4.30","沖縄銀行鳥堀支店","","3000000","みずほ銀行那覇支店",""
"T8030001076970","(株)フカガワ","R5.12.29","R6.4.30","埼玉りそな銀行西川口支店","","215076","みずほ銀行那覇支店",""
"T3370001005611","(株)鉄宝機械","R5.12.29","R6.4.30","七十七銀行東仙台支店","","197339","みずほ銀行那覇支店",""
"T8140001048876","サンコー物産(株)","R5.12.29","R6.4.30","みずほ銀行四ツ橋支店","","2404662","みずほ銀行那覇支店",""
"T5010501027718","(株)フォーワイズ","R5.12.31","R6.4.30","千葉銀行松飛台支店","","200000","みずほ銀行那覇支店",""
"","(株)とみや商会","R6.1.15","R6.4.30","琉球銀行宮古支店","","3000000","みずほ銀行那覇支店",""
"","(株)三光ボルト","R6.1.15","R6.4.30","みちのく銀行十和田中央支店","","143308","みずほ銀行那覇支店",""
"T2360001010571","(株)Will","R6.1.16","R6.4.30","みずほ銀行船場支店","","371000","みずほ銀行那覇支店",""
"T2360001010571","(株)Will","R6.1.16","R6.4.30","三井住友銀行難波支店","","148390","みずほ銀行那覇支店",""
"T2360002008920","(有)エス・アイ・シー","R6.1.31","R6.4.30","琉球銀行内間支店","","4851000","みずほ銀行那覇支店",""
"","(有)きん","R6.1.31","R6.4.30","沖縄銀行本部支店","","1717990","みずほ銀行那覇支店",""
"T5010501027718","(株)フォーワイズ","R6.1.31","R6.4.30","千葉銀行松飛台支店","","200000","みずほ銀行那覇支店",""
"T5360001007524","コンボルト・ジャパン(株)","R6.1.31","R6.4.30","沖縄銀行本店営業部","","825506","みずほ銀行那覇支店",""
"T6360001008827","(株)三和アグリテクノ","R6.1.31","R6.4.30","沖縄銀行西原支店","","617650","みずほ銀行那覇支店",""
"計","","","","","","","",""
