"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)モルテンアスコ","R4.12.15","R5.4.10","山口銀行阿知須支店","","2451079","",""
"利高工業(株)","R4.11.29","R5.4.10","三井住友銀行西野田支店","","974881","",""
"ニチハ(株)","R4.12.15","R5.4.10","三井住友銀行名古屋支店","","572154","",""
"大峰工業(株)","R4.12.12","R5.4.15","南都銀行天理支店","","197808","",""
"(株)山城精機製作所","R4.12.27","R5.4.30","三菱UFJ銀行赤羽駅前支店","","1115959","",""
"(株)モルテンアスコ","R5.1.16","R5.5.10","山口銀行阿知須支店","","870964","",""
"利高工業(株)","R4.12.26","R5.5.10","三井住友銀行西野田支店","","845763","",""
"大峰工業(株)","R5.1.10","R5.5.15","南都銀行天理支店","","1110701","",""
"(株)宮本鐵工所","R5.1.31","R5.5.21","萩山口信用金庫浜崎支店","","4970360","",""
"(株)山城精機製作所","R5.1.31","R5.5.31","三菱UFJ銀行赤羽駅前支店","","452810","",""
"大西化成(株)","R5.3.31","R5.5.31","福岡銀行比恵支店","","358736","",""
"新生商事(株)","R5.2.15","R5.5.31","山口銀行下松支店","","2403021","",""
"(株)モルテンアスコ","R5.2.15","R5.6.9","山口銀行阿知須支店","","5310861","",""
"大峰工業(株)","R5.2.10","R5.6.15","南都銀行天理支店","","341363","",""
"(株)宮本鐵工所","R5.2.28","R5.6.21","萩山口信用金庫浜崎支店","","1055502","",""
"(株)山城精機製作所","R5.2.28","R5.6.30","三菱UFJ銀行赤羽駅前支店","","416352","",""
"(株)モルテンアスコ","R5.3.15","R5.7.10","山口銀行阿知須支店","","311367","",""
"大峰工業(株)","R5.3.10","R5.7.15","南都銀行天理支店","","164065","",""
"澤田建設(株)","R5.3.31","R5.7.21","山口銀行防府支店","","2092512","",""
"(株)山城精機製作所","R5.3.31","R5.7.31","三菱UFJ銀行赤羽駅前支店","","1844894","",""
"電子記録債権計","","","","","27861152","",""
"計","","","","","256144142","",""
