"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"ミナト・アドバンテスト・テクノロジーズ(株)","令和5.6.30","令和5.10.31","","","3080000","","でんさい"
"〃","令和5.8.31","令和5.12.31","","","367400","","でんさい"
"サンケン電気(株)","令和5.7.31","令和5.10.31","","","713900","","電ペイ"
"岩谷産業(株)","令和5.8.31","令和6.1.4","","","2922920","","電子手形"
"〃","令和5.9.29","令和6.1.31","","","267300","","電子手形"
"(株)極東商会","令和5.5.31","令和5.9.30","三井住友","上野","493735","","YZ20280710/2期日落ち"
"〃","令和5.6.30","令和5.10.31","三井住友","上野","494934","","YZ202830"
"〃","令和5.8.31","令和5.12.31","三井住友","上野","119680","","ZK202912"
"〃","令和5.9.29","令和6.1.31","みずほ","上野","118030","","BD040742"
"石川サンケン(株)","令和5.9.29","令和6.1.31","","","976800","","でんさい"
"(合計)","","","","","9554699","",""
"計","","","","","","",""
