"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"T4360001025650","(株)宮令","R6.2.5","R6.5.23","沖縄銀行本店営業部","","737407","みずほ銀行那覇支店",""
"T4360001008812","(株)佐久本工機","R6.1.31","R6.5.25","琉球銀行浦添支店","","2619513","みずほ銀行那覇支店",""
"","ビー・ゼイ工事(株)","R6.2.16","R6.5.25","佐賀銀行本店営業部","","1463000","みずほ銀行那覇支店",""
"","福岡フォームタイ(株)","R6.2.7","R6.5.27","西日本シティ銀行比恵支店","","563750","みずほ銀行那覇支店",""
"T4360001023365","玉城組","R6.2.29","R6.5.27","沖縄銀行嘉手納支店","","320000","みずほ銀行那覇支店",""
"T7360001006508","(株)ナカモト","R6.2.20","R6.5.29","沖縄銀行南風原支店","","299162","みずほ銀行那覇支店",""
"","(株)沖電工","R6.2.29","R6.5.29","沖縄銀行本店営業部","","5000000","みずほ銀行那覇支店",""
"","(株)沖電工","R6.2.29","R6.5.29","沖縄銀行本店営業部","","665925","みずほ銀行那覇支店",""
"","宜野湾市管工事(協)","R6.1.31","R6.5.30","沖縄海邦銀行大謝名支店","","1048876","みずほ銀行那覇支店",""
"","初穂商事(株)","R6.1.19","R6.5.31","三菱UFJ銀行今池支店","","3000000","みずほ銀行那覇支店",""
"","初穂商亊(株)","R6.1.19","R6.5.31","三菱UFJ銀行今池支店","","636451","みずほ銀行那覇支店",""
"T8180001097829","(株)インダストリーコーワ","R6.1.23","R6.5.31","三菱UFJ銀行尾張新川支店","","792000","みずほ銀行那覇支店",""
"T5010501027718","(株)フォーワイズ","R6.1.31","R6.5.31","千葉銀行松飛台支店","","2280000","みずほ銀行那覇支店",""
"T6120001149323","カワモリ産業(株)","R6.1.31","R6.5.31","京都銀行枚方支店","","250800","みずほ銀行那覇支店",""
"","(株)タダシ建設","R6.1.31","R6.5.31","沖縄銀行鳥堀支店","","2100000","みずほ銀行那覇支店",""
"","(株)タダシ建設","R6.1.31","R6.5.31","沖縄銀行鳥堀支店","","5000000","みずほ銀行那覇支店",""
"T3360002007293","(有)なか総合金物商会","R6.1.31","R6.5.31","琉球銀行本店営業部","","586000","みずほ銀行那覇支店",""
"T8140001048876","サンコー物産(株)","R6.1.31","R6.5.31","みずほ銀行四ツ橋支店","","2757076","みずほ銀行那覇支店",""
"T3380001011187","A&Kホンシュウ(株)","R6.1.31","R6.5.31","東邦銀行安積支店","","1315710","みずほ銀行那覇支店",""
"T3370001005611","(株)鉄宝機械","R6.1.31","R6.5.31","七十七銀行東仙台支店","","141086","みずほ銀行那覇支店",""
"T7010001035153","(株)アカギ","R6.1.31","R6.5.31","東京東信用金庫深川北支店","","206469","みずほ銀行那覇支店",""
"","(株)とみや商会","R6.2.14","R6.5.31","琉球銀行宮古支店","","1472380","みずほ銀行那覇支店",""
"","(株)三光ボルト","R6.2.14","R6.5.31","みちのく銀行十和田中央支店","","128502","",""
"計","","","","","","","",""
