"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"ARC(株)","令5.1.15","令5.5.5","三菱UFJ","一宮","590040","","フロロコート名古屋より"
"CFTランズバーグ(株)","令5.1.31","令5.4.28","みずほ","横浜","1536678","",""
"(株)AIHO","令5.2.26","令5.5.22","三菱UFJ","豊川","1005989","",""
"(株)NRC","令4.12.31","令5.4.30","愛媛","尾道","1300000","",""
"〃","令5.1.31","令5.5.31","愛媛","尾道","1000000","",""
"〃","令5.2.28","令5.6.30","愛媛","尾道","800000","",""
"〃","令5.3.31","令5.7.31","愛媛","尾道","1000000","",""
"(株)スズキ麺工","令4.12.14","令5.4.5","中国","鴨方","212996","",""
"(株)スズキ麺工","令5.1.16","令5.5.5","中国","鴨方","349176","",""
"(株)スズキ麺工","令5.2.14","令5.6.5","中国","鴨方","443996","",""
"(株)岡山パッキング","令5.2.25","令5.6.25","中国","連島","1047200","",""
"(株)宮崎化学","令5.1.31","令5.4.30","京都","上堀川","642400","",""
"〃","令5.2.28","令5.5.31","京都","上堀川","924660","",""
"〃","令5.3.31","令5.6.30","京都","上堀川","380160","",""
"(株)興和製作所","令4.12.31","令5.4.30","三菱UFJ","北畠","109835","",""
"〃","令5.1.31","令5.5.31","三菱UFJ","北畠","313143","",""
"〃","令5.3.31","令5.7.31","三菱UFJ","北畠","688600","",""
"(株)小林製作所","令3.11.22","令4.4.5","金沢信用金庫","本店営業部","2076946","",""
"〃","令4.12.21","令5.5.8","金沢信用金庫","本店営業部","874536","",""
"〃","令5.1.20","令5.6.6","金沢信用金廉","本店営業部","1462486","",""
"〃","令5.2.21","令5.7.5","金沢信用金庫","本店営業部","1941426","",""
"〃","令5.3.22","令5.8.7","金沢信用金庫","本店営業部","1265550","",""
"(株)石井表記","令5.1.31","令5.5.31","もみじ","福山","957440","",""
"計","","","","","","",""
