"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"新日本建販(株)","4.11.30","5.4.30","でんさいネット","","421850","",""
"産機商事(株)","4.12.20","5.5.31","大光","川口","741400","",""
"新日本建販(株)","4.12.28","5.5.31","でんさいネット","","619190","",""
"三信建設工業(株)","5.1.11","5.5.11","三菱UFJ","飯田橋","640800","",""
"大和電業(株)","5.1.20","5.5.6","でんさいネット","","460000","",""
"(株)メガダイン","5.1.20","5.4.30","みずほ","志村","343200","",""
"ケミカルグラウト(株)","5.1.20","5.5.20","みずほ","新宿法人","600000","",""
"日特建設(株)","5.1.25","5.5.25","三菱UFJ","銀座通","865590","",""
"日特建設(株)","5.1.25","5.6.30","三井住友","東京中央","284900","",""
"日特建設(株)","5.1.25","5.5.25","三井住友","東京中央","1256948","","2通"
"新日本建販(株)","5.1.31","5.6.30","でんさいネット","","570900","",""
"竹田商事(株)","5.2.15","5.6.15","でんさいネット","","723800","",""
"(株)カンツール","5.2.20","5.5.31","みずほ","世田谷","493900","",""
"大和電業(株)","5.2.20","5.6.6","でんさいネット","","500000","",""
"日特建設(株)","5.2.27","5.6.25","三井住友","東京中央","1265440","","3通"
"新日本建販(株)","5.2.28","5.7.31","でんさいネット","","162360","",""
"(株)ヒノデ開発","5.2.28","5.7.5","でんさいネット","","105050","",""
"東陽商事(株)","5.2.28","5.7.31","でんさいネット","","862510","",""
"(株)トーメック","5.2.28","5.7.31","でんさいネット","","286880","",""
"内村ボーリング工事(株)","5.2.28","5.5.31","北陸","旭川","137940","",""
"大和電業(株)","5.3.20","5.7.6","でんさいネット","","1580000","",""
"日特建設(株)","5.3.27","5.7.25","三菱UFJ","銀座通","513700","","2通"
"日特建設(株)","5.3.27","5.7.25","三井住友","東京中央","673200","",""
"計","","","","","","",""
