"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)滝善","","","","","4028836","",""
"(株)ウインズ","","","","","3370856","",""
"クロバー(株)","","","","","998324","",""
"佐藤繊維(株)","","","","","891022","",""
"(株)サンマリノ","","","","","745875","",""
"(株)ジーエフニット","","","","","474029","",""
"中隆毛織(株)","","","","","469802","",""
"アズマ(株)","","","","","454325","",""
"(株)加藤政商店","","","","","126300","",""
"手持手形計","","","","","11559369","",""
"住商モンブラン(株)","","","","","16888410","",""
"島田商事(株)","","","","","10085953","",""
"アズマ(株)","","","","","1806497","",""
"豊通FーEXP(株)","","","","","1805100","",""
"モリリン(株)","","","","","767140","",""
"(株)丸東","","","","","373010","",""
"(株)スミテックス・インターナショナル","","","","","337370","",""
"(株)ヤギ","","","","","343508","",""
"三共生興アパレルファッション(株)","","","","","222178","",""
"帝人フロンティア(株)","","","","","137962","",""
"伊藤忠モードパル(株)","","","","","100063","",""
"電子債権計","","","","","32867191","",""
"計","","","","","44426560","",""
