"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"","沖縄ピーシー(株)","R6.1.31","R6.4.29","琉球銀行本店営業部","","1303508","",""
"","(有)富建","R5.12.29","R6.4.30","琉球銀行宮古支店","","6029780","みずほ銀行那覇支店",""
"","(有)互光管材","R5.12.27","R6.4.30","琉球銀行古波蔵支店","","539542","みずほ銀行那覇支店",""
"","新日本商事(株)","R5.12.30","R6.4.30","古川信用組合小牛田支店","","139458","みずほ銀行那覇支店",""
"","金秀鋼材(株)","R5.12.28","R6.4.30","沖縄銀行本店営業部","","2585521","",""
"","アートスペース(株)","R5.12.31","R6.4.30","りそな銀行堺東支店","","3787478","みずほ銀行那覇支店",""
"","(株)アークエース","R5.12.31","R6.4.30","商工組合中央金庫大阪支店","","4660018","みずほ銀行那覇支店",""
"","関包スチール(株)","R5.12.28","R6.4.30","商工組合中央金庫船場支店","","5833366","みずほ銀行那覇支店",""
"","(株)トウエイ","R5.12.29","R6.4.30","沖縄海邦銀行内間支店","","2924843","みずほ銀行那覇支店",""
"","(株)東江建設","R5.12.27","R6.4.30","琉球銀行内間支店","","387268","みずほ銀行那覇支店",""
"","平和技研(株)","R5.12.29","R6.4.30","北九州銀行八幡支店","","336941","みずほ銀行那覇支店",""
"","(株)シグマット","R6.1.16","R6.4.30","七十七銀行亘里支店","","153515","",""
"","(有)吉田産業","R6.1.15","R6.4.30","青森銀行八戸支店","","102905","",""
"","(株)安謝鋳物商事","R6.1.31","R6.4.30","沖縄銀行新都心支店","","4844598","みずほ銀行那覇支店",""
"","(有)石川保安商会","R6.2.29","R6.4.30","沖縄銀行石川支店","","5068206","みずほ銀行那覇支店",""
"","(株)大米建設","R6.2.26","R6.4.30","琉球銀行本店営業部","","103499","みずほ銀行那覇支店",""
"","(株)大米建設","R6.2.27","R6.4.30","琉球銀行本店営業部","","111320","みずほ銀行那覇支店",""
"","(株)東江建設","R6.3.29","R6.4.30","琉球銀行内間支店","","1745000","",""
"","(株)屋部土建","R6.2.29","R6.5.1","琉球銀行名護支店","","4496639","",""
"","(株)金城キク建設","R6.3.15","R6.5.1","沖縄銀行本店営業部","","442277","",""
"","那覇鋼材(株)","R5.12.28","R6.5.5","琉球銀行本店営業部","","17075105","みずほ銀行那覇支店",""
"","大保商事(株)","R6.1.31","R6.5.5","琉球銀行豊見城支店","","951881","みずほ銀行那覇支店",""
"","(株)ジェイアールエス","R5.12.20","R6.5.6","南都銀行羽曳野支店","","221936","みずほ銀行那覇支店",""
"計","","","","","","","",""
