"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"丸五ゴム工業(株)","令5.1.30","令5.5.31","中国","倉敷","926970","",""
"〃","令5.3.30","令5.7.31","中国","倉敷","376200","",""
"広島アイホー調理機械(株)","令5.1.31","令5.5.8","広島","横川","834350","",""
"〃","令5.2.28","令5.6.5","広島","横川","181500","",""
"〃","令5.3.31","令5.7.5","広島","横川","166650","",""
"佐渡精密(株)","令4.12.31","令5.4.30","第四北越","佐和田中央","1021046","",""
"〃","令5.1.31","令5.5.31","第四北越","佐和田中央","1108800","",""
"〃","令5.2.28","令5.6.30","第四北越","佐和田中央","1293600","",""
"〃","令5.3.31","令5.7.31","第四北越","佐和田中央","1386000","",""
"三井精機工業(株)","令4.12.20","令5.4.20","三井住友","日本橋","523858","",""
"〃","令5.1.20","令5.5.20","三井住友","日本橋","293239","",""
"〃","令5.2.20","令5.6.20","三井住友","日本橋","334098","",""
"〃","令5.3.20","令5.7.20","三井住友","日本橋","359266","",""
"三進興産(株)","令4.12.20","令5.4.20","みずほ","?町","315700","",""
"〃","令5.1.20","令5.5.20","みずほ","?町","220550","",""
"〃","令5.2.20","令5.6.20","みずほ","?町","276562","",""
"〃","令5.3.20","令5.7.20","みずほ","?町","237424","",""
"三陽(株)","令4.12.25","令5.5.27","みずほ","神戸","198256","",""
"〃","令5.1.25","令5.6.27","みずほ","神戸","773666","",""
"〃","令5.3.24","令5.8.27","みずほ","神戸","696996","",""
"三和産業(株)","令5.1.10","令5.4.30","みなと","明石","1340900","",""
"住友ゴム工業(株)","令4.12.26","令5.4.30","三井住友","神戸営業部","1552320","",""
"〃","令5.1.25","令5.5.31","三井住友","神戸営業部","1203400","",""
"計","","","","","","",""
