"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"大西賢製販(株)","R5.8.31","R5.12.7","三菱UFJ銀行上本町支店","","602915","",""
"〃","R5.5.31","R5.9.7","三菱UFJ銀行上本町支店","","565981","みずほ銀行東大阪支店",""
"〃","R5.6.30","R5.10.7","三菱UE]銀行上本町支店","","1012449","みずほ銀行東大阪支店",""
"〃","R5.7.31","R5.11.7","","","1103793","大阪シティ信用金庫布施支店",""
"(株)コージー本舗","R5.7.10","R5.9.7","みずほ銀行浅草支店","","198000","みずほ銀行東大阪支店",""
"(株)アーテック","R5.7.19","R5.11.15","関西みらい銀行平野中央支店","","1123796","大阪シティ信用金庫布施支店",""
"受取手形計","","","","","4606934","",""
"クツワ(株)","R5.5.10","R5.9.10","","","997271","みずほ銀行東大阪支店",""
"〃","R5.6.12","R5.10.10","","","378785","みずほ銀行東大阪支店",""
"〃","R5.7.10","R5.11.10","","","393085","みずほ銀行東大阪支店",""
"〃","R5.8.10","R5.12.10","","","187660","みずほ銀行東大阪支店",""
"サンスター文具(株)","R5.5.10","R5.9.15","","","28816700","みずほ銀行東大阪支店",""
"〃","R5.7.10","R5.11.10","","","4912776","みずほ銀行東大阪支店",""
"タイヘイ化成","R5.5.15","R5.9.15","","","135410","みずほ銀行東大阪支店",""
"〃","R5.6.15","R5.10.15","","","340670","みずほ銀行東大阪支店",""
"〃","R5.8.15","R5.12.15","","","176990","みずほ銀行東大阪支店",""
"電子記録債権計","","","","","36339347","",""
"計","","","","","40946281","",""
