"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)高澤製作所","R5.5.20","R5.8.20","三井住友/八尾","","2681316","","QY200490"
"岸上バルブ株式会社","R5.4.25","R5.8.25","岡崎信金/岡崎南","","682540","","YA315553"
"岡崎精機株式会社","R5.4.25","R5.8.25","広島/川尻","","242792","","T10478"
"日東工業(株)","R5.4.30","R5.8.31","三井住友/八尾","","1647532","","RD200516"
"岸上バルブ株式会社","R5.5.25","R5.9.25","滋賀/彦根駅前","","167984","","AA051641"
"宮部鉄工(株)","R5.5.22","R5.9.30","広島/川尻","","228945","","T10490"
"日東工業(株)","R5.5.31","R5.9.30","三井住友/西野田","","1505915","","XI218007"
"藤井金属化工(株)","R5.6.20","R5.10.20","三井住友/八尾","","448634","","RD200545"
"岸上バルブ(株)","R5.6.25","R5.10.25","岡崎信金/岡崎南","","1064341","","YA315555"
"岡崎精機(株)","R5.6.26","R5.10.25","滋賀/彦根駅前","","150700","","AA051575"
"宮部鉄工(株)","R5.6.20","R5.10.31","広島/川尻","","441540","","AA051575"
"日東工業(株)","R5.6.30","R5.10.31","広島/川尻","","1747965","","T10499"
"甲南電気","R5.4.30","R5.7.31","みなと/西宮","","123248","","BA73114"
"日東工業(株)","R5.3.31","R5.7.31","三井住友/西野田","","344159","","T10467"
"岸上バルブ株式会社","R5.3.25","R5.7.25","岡崎信金/岡崎南","","802153","","QY200462"
"藤井金属化工(株)","R5.3.20","R5.7.20","三井住友/八尾","","446141","","VW217938"
"宮部鉄工(株)","R5.3.20","R5.7.31","広島/川尻","","708510","",""
"受取手形計","","","","","13434415","",""
"三和ハイドロテック(株)","R5.2.20","R5.7.5","広島銀行/音戸","","496001","",""
"ニデック大豊機工株式会社","R5.2.28","R5.7.31","広島銀行/音戸","","1422537","",""
"(株)シンコー","R5.3.15","R5.7.10","広島銀行/音戸","","3979670","",""
"ニデック大豊機工株式会社","R5.3.31","R5.7.31","広島銀行/音戸","","289339","",""
"栗本商事株式会社","R5.3.31","R5.7.31","広島銀行/音戸","","3889840","",""
"計","","","","","","",""
