"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)西日本設備サービス","R5.2.20","R5.6.30","山口銀行萩支店","","10000000","","BA98641"
"(株)西日本設備サービス","R5.2.20","R5.6.30","山口銀行萩支店","","1844886","","BA98642"
"大西化成(株)","R5.2.28","R5.6.30","肥後銀行光の森支店","","510216","","FO48883"
"(有)松田鉄工所","R5.2.28","R5.6.30","山口銀行萩支店","","548885","","BA94926"
"(有)波多野住建","R5.3.13","R5.6.30","山口銀行萩支店","","106575","","BC15387"
"(株)北浦建設","R5.3.20","R5.6.30","萩山口信用金庫松本支店","","910000","","TW2529"
"安藤建設(株)","R5.3.20","R5.6.30","山口銀行長門支店","","2589500","","BA96900"
"安藤建設(株)","R5.3.20","R5.6.30","山口銀行長門支店","","5000000","","BA96899"
"松村建設(株)","R5.3.20","R5.6.30","山口銀行萩支店","","3000000","","BC29618"
"(株)ジオパワーシステム","R5.3.31","R5.6.30","山口銀行長門支店","","1840853","","BB96186"
"本田機工(株)","R5.2.27","R5.7.5","福岡銀行箱崎支店","","146394","",""
"(株)テクノウエル","R5.2.27","R5.7.10","山口銀行室積支店","","447911","","BC26205"
"山陽鋼機建設(株)","R5.3.27","R5.7.10","西中国信用金庫小郡支店","","669499","","Y413682"
"大洋パッキング","R5.2.28","R5.7.15","りそな銀行大阪西区支店","","210540","","QG60693"
"(有)国安電気","R5.3.13","R5.7.15","山口銀行萩支店","","482338","","AY52784"
"大田鋼管(株)","R5.3.13","R5.7.15","山口銀行広島西支店","","1317546","","BB85018"
"日成ビルド工業(株)","R5.3.13","R5.7.15","北陸銀行金沢中央支店","","2193900","","OI53214"
"日成ビルド工業(株)","R5.3.13","R5.7.15","北陸銀行金沢中央支店","","5000000","","OI53215"
"ヤマネ鉄工建設(株)","R5.3.27","R5.7.25","山口銀行長門支店","","30000000","","AC63293"
"ヤマネ鉄工建設(株)","R5.3.27","R5.7.25","山口銀行長門支店","","250000","","AC63294"
"嶋村化成(株)","R5.3.15","R5.7.31","萩山口信用金庫新川支店","","697428","","TT003656"
"トーフレ(株)","R5.3.15","R5.7.31","三菱UFJ銀行天神橋支店","","221339","","VB23336"
"トーフレオメガフレックス(株)","R5.3.15","R5.7.31","山口銀行萩支店","","238601","","BB36384"
"計","","","","","","",""
