"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"","(株)沖電工","R6.3.29","R6.6.27","沖縄銀行本店営業部","","5000000","",""
"","(株)沖電工","R6.3.29","R6.6.27","沖縄銀行本店営業部","","1366098","",""
"","(株)タダシ建設","R6.2.29","R6.6.28","沖縄銀行鳥堀支店","","3808000","",""
"","初穂商亊(株)","R6.2.14","R6.6.30","三菱UFJ銀行今池支店","","2081395","",""
"","初穂商亊(株)","R6.2.14","R6.6.30","三菱UFJ銀行今池支店","","3000000","",""
"T3360002007293","(有)なか総合金物商会","R6.2.29","R6.6.30","琉球銀行本店営業部","","383460","",""
"T8140001048876","サンコー物産(株)","R6.2.29","R6.6.30","みずほ銀行四ツ橋支店","","1941436","",""
"T8180001097829","(株)インダストリコーワ","R6.2.29","R6.6.30","三菱UFJ銀行尾張新川支店","","475200","",""
"T3370001005611","(株)鉄宝機械","R6.2.29","R6.6.30","七十七銀行東仙台支店","","173529","",""
"T5010501027718","(株)フォーワイズ","R6.2.29","R6.6.30","りそな銀行江戸川南支店","","100100","",""
"T5010501027718","(株)フォーワイズ","R6.2.29","R6.6.30","千葉銀行松飛台支店","","1880000","",""
"","諸見左官材料販売","R6.3.25","R6.6.30","琉球銀行本店営業部","","500000","",""
"","(株)三光ボルト","R6.3.25","R6.6.30","みちのく銀行十和田中央支店","","146300","",""
"T2360001010571","(株)Will","R6.3.25","R6.6.30","琉球銀行安謝支店","","1200000","",""
"T2360001010571","(株)Will","R6.3.25","R6.6.30","三井住友銀行難波支店","","328771","",""
"","(有)きん","R6.3.29","R6.6.30","沖縄銀行本部支店","","1192265","",""
"T5360001007524","コンボルト・ジャパン(株)","R6.3.29","R6.6.30","沖縄銀行本店営業部","","520188","",""
"","(株)とみや商会","R6.3.6","R6.7.1","琉球銀行宮古支店","","1399763","",""
"","デザインワークス(株)","R6.3.29","R6.7.2","沖縄銀行普天間支店","","300000","",""
"","(株)スズトヨ","R6.3.25","R6.7.3","東邦銀行原町支店","","1633878","",""
"","(株)沖縄日興","R6.2.29","R6.7.5","沖縄銀行山内支店","","3352510","",""
"T9360001000995","(株)サンライト","R6.2.29","R6.7.5","琉球銀行本店営業部","","748220","",""
"","ビー・ゼイ工事(株)","R6.3.25","R6.7.5","沖縄銀行高橋支店","","1500000","",""
"計","","","","","","","",""
