"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"","新光産業(株)","R5.12.28","R6.4.5","沖縄銀行高橋支店","","841878","",""
"","(株)仙台銘板","R5.11.20","R6.4.10","七十七銀行六丁目支店","","510697","",""
"","(株)仙台銘板","R5.11.30","R6.4.10","七十七銀行六丁目支店","","70890","",""
"","(株)ナイソ","R5.12.15","R6.4.10","琉球銀行城間支店","","7712326","",""
"","化研マテリアル(株)","R5.12.27","R6.4.10","みずほ銀行新橋中央支店","","209558","",""
"","野口興産(株)","R5.12.27","R6.4.10","三菱UFJ銀行江古田支店","","6246245","",""
"","(有)三和工業","R6.1.5","R6.4.10","沖縄銀行安慶名支店","","370124","みずほ銀行那覇支店",""
"","沖縄市管工事(協)","R6.1.15","R6.4.12","琉球銀行コザ十字路支店","","1194034","",""
"","熊谷商事(株)","R5.11.30","R6.4.13","北日本銀行気仙沼支店","","107415","",""
"","(株)平商事","R5.11.22","R6.4.15","琉球銀行読谷支店","","4201505","みずほ銀行那覇支店",""
"","(有)あさひ","R6.1.16","R6.4.15","沖縄銀行宮古支店","","9565925","",""
"","コンドーテック(株)","R5.12.25","R6.4.20","三菱UFJ銀行大正橋支店","","237847","",""
"","日鉄物産ワイヤ&ウェルディング(株)","R5.12.20","R6.4.20","三井住友銀行錦糸町支店","","4017895","",""
"","(株)新洋","R5.12.25","R6.4.20","琉球銀行安謝支店","","120791","",""
"","伊藤忠丸紅特殊鋼(株)","R5.12.28","R6.4.20","みずほ銀行横山町支店","","8289072","みずほ銀行那覇支店",""
"","トーアン(株)","R5.12.20","R6.4.20","秋田銀行郡山北支店","","1384020","みずほ銀行那覇支店",""
"","(株)小泉","R5.12.11","R6.4.20","みずほ銀行荻窪支店","","3009600","みずほ銀行那覇支店",""
"","チヨダメタルスタッド関西(株)","R5.12.31","R6.4.20","三菱UFJ銀行四日市支店","","519200","みずほ銀行那覇支店",""
"","(株)千葉春","R5.12.15","R6.4.25","一関信用金庫東山支店","","1473317","",""
"","金秀建設(株)","R5.12.28","R6.4.25","琉球銀行本店営業部","","2350189","",""
"","金秀鉄工(株)","R5.12.28","R6.4.25","琉球銀行本店営業部","","6051936","",""
"","松尾建設(株)","R5.12.28","R6.4.25","佐賀銀行本店営業部","","5356613","",""
"","(株)日本建産","R5.12.12","R6.4.29","沖縄銀行普天間支店","","275253","みずほ銀行那覇支店",""
"計","","","","","","","",""
