"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"常盤産業(株)","3.11.20","4.4.20","名古屋","上前津","2078890","",""
"(株)藤田製作所","3.12.6","4.4.5","千葉興業","茂原","950000","",""
"(株)藤田製作所","3.12.6","4.4.5","千葉興業","茂原","92432","",""
"常盤産業(株)","3.12.20","4.5.20","名古屋","上前津","3000000","",""
"常盤産業(株)","3.12.20","4.5.20","名古屋","上前津","342240","",""
"(株)鳥羽洋行","3.12.28","4.4.30","みずほ","江戸川橋","5000000","",""
"(株)鳥羽洋行","3.12.28","4.4.30","みずほ","江戸川橋","1661815","",""
"常盤産業(株)","4.1.20","4.6.20","名古屋","上前津","2559590","",""
"(株)日進機械製作所","4.1.20","4.6.25","静岡","成子","1803481","",""
"秋田日産スプリング(株)","4.1.31","4.5.31","秋田","鷹巣","2255000","",""
"(株)鳥羽洋行","4.1.31","4.5.31","みずほ","江戸川橋","5000000","",""
"(株)鳥羽洋行","4.1.31","4.5.31","みずほ","江戸川橋","2000000","",""
"(株)鳥羽洋行","4.1.31","4.5.31","みずほ","江戸川橋","1057267","",""
"(株)北村製作所","4.2.15","4.7.31","七十七","山下","1506615","",""
"常盤産業(株)","4.2.20","4.7.20","名古屋","上前津","2142910","",""
"(株)鳥羽洋行","4.2.28","4.6.30","みずほ","江戸川橋","2270081","",""
"(株)藤田製作所","4.3.5","4.7.5","千葉興業","茂原","1293710","",""
"常盤産業(株)","4.3.20","4.8.20","名古屋","上前津","2900250","",""
"常盤産業(株)","4.3.20","4.8.20","名古屋","上前津","100000","",""
"(株)ライト","4.3.22","4.7.25","三井住友","神田駅前","5000000","",""
"(株)ライト","4.3.22","4.7.25","三井住友","神田駅前","1140200","",""
"(株)北村製作所","4.3.15","4.8.31","七十七","山下","4269760","",""
"(株)鳥羽洋行","4.3.31","4.7.31","みずほ","江戸川橋","10000000","",""
"計","","","","","","",""
