"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"","杉田金商(株)","R6.3.29","R6.7.31","三菱UFJ銀行亀有支店","","3356210","",""
"","サンコー物産(株)","R6.3.30","R6.7.31","みずほ銀行四ツ橋支店","","2677819","",""
"","(株)アークエース","R6.3.31","R6.7.31","商工組合中央金庫大阪支店","","4470924","",""
"","金秀鋼材(株)","R6.3.29","R6.7.31","沖縄銀行本店営業部","","2900946","",""
"","関包スチール(株)","R6.3.29","R6.7.31","商工組合中央金庫船場支店","","1699767","",""
"","アートスペース(株)","R6.3.31","R6.7.31","りそな銀行堺東支店","","1025797","",""
"","(株)フカガワ","R6.3.29","R6.7.31","埼玉りそな銀行西川口支店","","257954","",""
"","(株)東江建設","R6.3.29","R6.7.31","琉球銀行内間支店","","731743","",""
"","(有)互光管材","R6.3.29","R6.7.31","琉球銀行古波蔵支店","","592770","",""
"","(株)トウエイ","R6.3.29","R6.7.31","沖縄海邦銀行内間支店","","2455602","",""
"","ワールドネジ(株)","R6.3.29","R6.7.31","りそな銀行江戸川南支店","","1072050","",""
"","那覇鋼材(株)","R6.3.29","R6.8.5","琉球銀行本店営業部","","16605652","",""
"","(株)仙台銘板","R6.3.20","R6.8.10","七十七銀行六丁目支店","","408100","",""
"","(株)カンエツ","R6.3.29","R6.8.10","第四北越銀行新崎支店","","297836","",""
"","イシグロ(株)","R6.3.21","R6.8.11","三菱UFJ銀行八重洲通支店","","289831","",""
"","(株)平商事","R6.3.29","R6.8.15","琉球銀行読谷支店","","2582279","",""
"","電子記録債権計","","","","","519457955","",""
"計","","","","","","843975438","",""
