"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"","熊谷商事(株)","R6.1.31","R6.6.13","北日本銀行気仙沼支店","","138270","",""
"","沖縄市管工事(協)","R6.3.15","R6.6.13","琉球銀行コザ十字路支店","","1420172","",""
"","(株)ナイソ","R6.2.22","R6.6.14","琉球銀行城間支店","","12317525","",""
"","(株)平商事","R6.1.31","R6.6.15","琉球銀行読谷支店","","8118922","",""
"","ジャパン建材(株)","R6.2.20","R6.6.15","みずほ銀行小舟町支店","","205150","",""
"","渡辺パイプ沖縄(株)","R6.2.26","R6.6.15","みずほ銀行東京営業部","","154147","",""
"","BX西山鉄網(株)","R6.3.15","R6.6.15","三菱UFJ銀行押上支店","","330000","",""
"","(有)あさひ","R6.3.15","R6.6.15","沖縄銀行宮古支店","","6799128","",""
"","トーアン(株)","R6.2.15","R6.6.20","秋田銀行郡山北支店","","873070","",""
"","伊藤忠丸紅特殊鋼(株)","R6.2.20","R6.6.20","みずほ銀行横山町支店","","4512709","",""
"","チヨダメタルスタッド関西(株)","R6.2.29","R6.6.20","三菱UFJ銀行四日市支店","","519200","",""
"","(株)タツノ","R6.2.29","R6.6.20","三井住友銀行新橋支店","","4000000","",""
"","(株)新洋","R6.2.26","R6.6.20","琉球銀行安謝支店","","19952222","",""
"","日鉄物産ワイヤ&ウェルディング(株)","R6.2.26","R6.6.20","三井住友銀行錦糸町支店","","4746229","",""
"","コンドーテック(株)","R6.2.26","R6.6.20","三菱UFJ銀行大正橋支店","","1106188","",""
"","(株)タツノ","R6.3.29","R6.6.20","三井住友銀行新橋支店","","4000000","",""
"","(株)千葉春","R6.2.20","R6.6.25","関信用金庫庫東山支店","","620598","",""
"","沖縄ピーシー(株)","R6.3.29","R6.6.26","琉球銀行本店営業部","","2426314","",""
"","金秀建設(株)","R6.2.29","R6.6.27","琉球銀行本店営業部","","4964116","",""
"","金秀鉄工(株)","R6.2.29","R6.6.27","琉球銀行本店営業部","","17491914","",""
"","金秀建設(株)","R6.3.29","R6.6.27","琉球銀行本店営業部","","4620000","",""
"","(有)富建","R6.2.29","R6.6.28","琉球銀行宮古支店","","7110927","",""
"","新日本商事(株)","R6.2.29","R6.6.30","古川信用組合小牛田支店","","101420","",""
"計","","","","","","","",""
