"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"ケイ・マック(株)北海道","4.12.26","5.4.20","三菱東京UFJ銀行","梅田中央支店","2113243","",""
"エトー(株)","4.12.26","5.4.25","同上","","7899097","",""
"不ニサッシ(株)","4.12.27","5.4.30","りそな銀行","東京営業部","223363","",""
"(株)ヤハタ","4.12.28","5.5.1","三菱UFJ銀行","","1672604","",""
"三協(株)","4.12.28","5.4.28","みずほ電子債権記録(株)","","2074429","",""
"六和精工(株)","4.12.31","5.4.30","三井住友銀行","国領支店","295962","",""
"藤倉商事(株)","5.1.4","5.5.1","オリックス(株)","","1317316","",""
"ケイ・マック(株)","5.1.20","5.5.19","三菱東京UFJ銀行","梅田中央支店","148416","",""
"イワタボルト(株)","5.1.20","5.5.22","みずほ電子債権記録(株)","","1034924","",""
"ケイ・マック(株)京都","5.1.25","5.5.22","りそな決済サービス(株)","","230709","",""
"ケイ・マック(株)北海道","5.1.25","5.5.19","三菱UFJ銀行","梅田中央支店","1394428","",""
"エトー(株)","5.1.25","5.5.25","三菱東京UFJ銀行","","6716593","",""
"(株)ヤハタ","5.1.31","5.5.31","三菱UFJ銀行","","2179817","",""
"三協(株)","5.1.31","5.5.31","みずほ電子債権記録(株)","","2149911","",""
"藤倉商事(株)","5.1.31","5.5.31","オリックス(株)","","1182142","",""
"由良産商(株)","5.2.10","5.5.31","同上","","145035","",""
"ケイ・マック(株)京都","5.2.20","5.6.20","りそな決済サービス(株)","","269489","",""
"イワタボルト(株)","5.2.20","5.6.20","みずほ電子債権記録(株)","","1178001","",""
"ケイ・マック(株)北海道","5.2.27","5.6.20","三菱UFJ銀行","梅田中央支店","781769","",""
"エトー(株)","5.2.27","5.6.22","三菱東京UFJ銀行","","4752499","",""
"(株)ヤハタ","5.2.28","5.6.30","三菱UFJ銀行","","2818265","",""
"三協(株)","5.2.28","5.6.30","みずほ電子債権記録(株)","","2004686","",""
"藤倉商事(株)","5.2.28","5.6.30","オリックス(株)","","1054502","",""
"合計","","","","","","",""
