"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"住友ゴム工業(株)","令5.3.27","令5.7.31","三井住友","神戸営業部","1895960","",""
"大進工機(株)","令4.12.20","令5.4.30","中国","福山南","2171719","",""
"〃","令5.1.20","令5.5.31","中国","福山南","2333562","",""
"〃","令5.2.20","令5.6.30","中国","福山南","2458566","",""
"〃","令5.3.20","令5.7.31","中国","福山南","1344266","",""
"敦井産業(株)","令5.1.10","令5.4.10","第四北越","本店営業部","9291351","",""
"〃","令5.2.10","令5.5.10","第四北越","本店営業部","3000000","",""
"〃","令5.2.10","令5.5.10","第四北越","本店営業部","953857","",""
"〃","令5.3.10","令5.6.10","第四北越","本店営業部","10000000","",""
"〃","令5.3.10","令5.6.10","第四北越","本店営業部","4173411","",""
"内山工業(株)","令4.12.31","令5.4.30","三菱UFJ","岡山","279730","",""
"〃","令5.1.31","令5.5.31","三菱UFJ","岡山","2979784","",""
"〃","令5.3.31","令5.7.31","三菱UFJ","岡山","291825","",""
"日本ポリマー(株)","令4.12.28","令5.4.30","三菱UFJ","春日井","2467421","","(株)フロロコート名古屋より"
"〃","令5.1.31","令5.5.31","三菱UFJ","春日井","1382003","","(株)フロロコート名古屋より"
"八十島プロシード(株)","令5.2.28","令5.5.31","三井住友","南森町","3000000","",""
"〃","令5.2.28","令5.5.31","三井住友","南森町","490996","",""
"〃","令5.3.31","令5.6.30","三井住友","南森町","1352596","",""
"淀川ヒューテック(株)","令4.12.31","令5.5.10","りそな","江坂","1333475","",""
"〃","令5.1.31","令5.6.10","りそな","江坂","2830674","",""
"〃","令5.5.31","令5.8.10","りそな","江坂","1528604","",""
"エー・エス・ジー(株)","令4.12.25","令5.4.25","観音寺信金","四国中央","492580","",""
"〃","令5.1.25","令5.5.25","観音寺信金","四国中央","462000","",""
"計","","","","","","",""
