"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"泉環境エンジニアリング","","2023.7.31","","","847000","","受取手形"
"シンメトリー","","2023.7.31","","","484000","","受取手形"
"日本機械","","2023.8.10","","","396000","","受取手形"
"石井機械製作所","","2023.7.31","","","9537000","","受取手形"
"村瀬炉工業","","2023.6.25","","","918500","","でんさい"
"桂商事","","2023.6.30","","","1511840","","でんさい"
"テクノスマート","","2023.6.20","","","7260000","","でんさい"
"永和工業","","2023.7.2","","","133100","","でんさい"
"中外炉工業","","2023.6.30","","","330000","","でんさい"
"椿本興業","","2023.6.30","","","1200650","","でんさい"
"轟産業","","2023.7.31","","","462000","","でんさい"
"南出キカイ","","2023.7.20","","","4224000","","でんさい"
"村瀬炉工業","","2023.7.25","","","465300","","でんさい"
"テクノスマート","","2023.7.20","","","21615000","","でんさい"
"中外炉工業","","2023.7.31","","","264000","","でんさい"
"フロイント産業","","2023.7.31","","","6727600","","でんさい"
"日本ノズル","","2023.6.30","","","572000","","でんさい"
"小計","","","","","56947990","",""
"計","","","","","","",""
