file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,account,account,金額,amount_1,,,,,,,,,,,,,,,,,
,,,1,(売上高),(売上高),,,,,,,,,,,,,,,,,,,
,,,2,売上高,売上高,"269,014,365",,,,,,,,,,,,,,,,,,
,,,3,売上高合計,売上高合計,,"269,014,365",,,,,,,,,,,,,,,,,
,,,4,(売上原価),(売上原価),,,,,,,,,,,,,,,,,,,
,,,5,当期総運送原価,当期総運送原価,"216,170,016",,,,,,,,,,,,,,,,,,
,,,6,合計,合計,"216,170,016",,,,,,,,,,,,,,,,,,
,,,7,当期運送原価,当期運送原価,,"216,170,016",,,,,,,,,,,,,,,,,
,,,8,売上原価,売上原価,,"216,170,016",,,,,,,,,,,,,,,,,
,,,9,売上総利益金額,売上総利益金額,,"52,844,349",,,,,,,,,,,,,,,,,
,,,10,(販売費及び一般管理費),(販売費及び一般管理費),,,,,,,,,,,,,,,,,,,
,,,11,販売費及び一般管理費合計,販売費及び一般管理費合計,,"51,336,249",,,,,,,,,,,,,,,,,
,,,12,営業利益金額,営業利益金額,,"1,508,100",,,,,,,,,,,,,,,,,
,,,13,(営業外収益),(営業外収益),,,,,,,,,,,,,,,,,,,
,,,14,受取利息,受取利息,"6,191",,,,,,,,,,,,,,,,,,
,,,15,受取配当金,受取配当金,205,,,,,,,,,,,,,,,,,,
,,,16,受取家賃,受取家賃,"3,356,400",,,,,,,,,,,,,,,,,,
,,,17,雑収入,雑収入,"3,714,289",,,,,,,,,,,,,,,,,,
,,,18,営業外収益合計,営業外収益合計,,"7,077,085",,,,,,,,,,,,,,,,,
,,,19,(営業外費用),(営業外費用),,,,,,,,,,,,,,,,,,,
,,,20,支払利息,支払利息,"1,298,094",,,,,,,,,,,,,,,,,,
,,,21,長期前払費用償却,長期前払費用償却,"972,207",,,,,,,,,,,,,,,,,,
,,,22,営業外費用合計,営業外費用合計,,"2,270,301",,,,,,,,,,,,,,,,,
,,,23,経常利益金額,経常利益金額,,"6,314,884",,,,,,,,,,,,,,,,,
,,,24,(特別利益),(特別利益),,,,,,,,,,,,,,,,,,,
,,,25,固定資産売却益,固定資産売却益,"2,272,363",,,,,,,,,,,,,,,,,,
,,,26,特別利益合計,特別利益合計,,"2,272,363",,,,,,,,,,,,,,,,,
,,,27,(特別損失),(特別損失),,,,,,,,,,,,,,,,,,,
,,,28,特別賞与,特別賞与,"2,930,000",,,,,,,,,,,,,,,,,,
,,,29,特別損失合計,特別損失合計,,"2,930,000",,,,,,,,,,,,,,,,,
,,,30,税引前当期純利益金額,税引前当期純利益金額,,"5,657,247",,,,,,,,,,,,,,,,,
,,,31,法人税等,法人税等,,"999,641",,,,,,,,,,,,,,,,,
,,,32,当期純利益金額,当期純利益金額,,"4,657,606",,,,,,,,,,,,,,,,,
