file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,当期,前期,増減,前期比(%),,,,,,,,,,,,,,,
,,,1,(流動資産),(流動資産),"(6,881,070,666)","(7,084,442,755)","(▲203,312,089)",97.1,,,,,,,,,,,,,,,
,,,2,現預金,現預金,"667,896,785","792,995,910","▲125,099,125",84.2,,,,,,,,,,,,,,,
,,,3,受取手形,受取手形,"39,307,127","59,118,485","▲19,811,358",66.5,,,,,,,,,,,,,,,
,,,4,電子記録債権,電子記録債権,"866,334,724","665,422,303","200,912,421",130.2,,,,,,,,,,,,,,,
,,,5,売掛金,売掛金,"1,495,270,301","1,725,047,451","▲229,777,150",86.7,,,,,,,,,,,,,,,
,,,6,棚卸資産,棚卸資産,"630,108,742","606,653,035","23,455,707",103.9,,,,,,,,,,,,,,,
,,,7,1年以内返済長期貸付金,1年以内返済長期貸付金,"186,103,911","196,866,039","▲10,762,128",94.5,,,,,,,,,,,,,,,
,,,8,短期貸付金,短期貸付金,"2,190,146,917","2,094,192,631","95,954,286",104.6,,,,,,,,,,,,,,,
,,,9,立替金,立替金,"195,118,822","197,740,840","▲2,622,018",98.7,,,,,,,,,,,,,,,
,,,10,未収入金,未収入金,"648,590,711","724,870,139","▲76,279,428",89.5,,,,,,,,,,,,,,,
,,,11,仮払金,仮払金,"25,798",0,"25,798",-,,,,,,,,,,,,,,,
,,,12,前払費用,前払費用,"27,621,194","26,288,408","1,332,786",105.1,,,,,,,,,,,,,,,
,,,13,未収消費税等,未収消費税等,"378,500","41,033,300","▲40,654,800",0.9,,,,,,,,,,,,,,,
,,,14,未収法人税等,未収法人税等,0,"20,099,400","▲20,099,400",-,,,,,,,,,,,,,,,
,,,15,貸倒引当金,貸倒引当金,"▲65,832,866","▲65,885,186","52,320",100.1,,,,,,,,,,,,,,,
,,,16,(固定資産),(固定資産),"(8,091,661,579)","(5,751,222,310)","(2,340,439,269)",140.7,,,,,,,,,,,,,,,
,,,17,(有形固定資産),(有形固定資産),"(2,951,785,009)","(2,507,086,862)","(444,698,147)",117.7,,,,,,,,,,,,,,,
,,,18,建物,建物,"1,398,760,174","963,308,078","435,452,096",145.2,,,,,,,,,,,,,,,
,,,19,建物付属設備,建物付属設備,"268,452,133","287,939,603","▲19,487,470",93.2,,,,,,,,,,,,,,,
,,,20,構築物,構築物,"127,252,696","141,699,100","▲14,446,404",89.8,,,,,,,,,,,,,,,
,,,21,機械装置,機械装置,"55,651,064","50,386,450","5,264,614",110.4,,,,,,,,,,,,,,,
,,,22,車両運搬具,車両運搬具,"6,119,441","9,178,721","▲3,059,280",66.7,,,,,,,,,,,,,,,
,,,23,器具備品,器具備品,"29,745,455","26,674,728","3,070,727",111.5,,,,,,,,,,,,,,,
,,,24,土地,土地,"1,040,649,386","1,020,517,521","20,131,865",102.0,,,,,,,,,,,,,,,
,,,25,建設仮勘定,建設仮勘定,"25,154,660","7,382,661","17,771,999",340.7,,,,,,,,,,,,,,,
,,,26,(無形固定資産),(無形固定資産),"(186,862,446)","(285,971,192)","(▲99,108,746)",65.3,,,,,,,,,,,,,,,
,,,27,電話加入権,電話加入権,"2,229,788","2,229,788",0,100.0,,,,,,,,,,,,,,,
,,,28,ソフトウェア,ソフトウェア,"182,799,002","280,815,269","▲98,016,267",65.1,,,,,,,,,,,,,,,
,,,29,商標権,商標権,"1,361,116","1,701,393","▲340,277",80.0,,,,,,,,,,,,,,,
,,,30,特許権,特許権,"472,540","1,224,742","▲752,202",38.6,,,,,,,,,,,,,,,
,,,31,(投資その他の資産),(投資その他の資産),"(4,953,014,124)","(2,958,164,256)","(1,994,849,868)",167.4,,,,,,,,,,,,,,,
,,,32,投資有価証券,投資有価証券,"327,567,466","1,056,050,526","▲728,483,060",31.0,,,,,,,,,,,,,,,
,,,33,子会社社株式,子会社社株式,"2,714,544,918",0,"2,714,544,918",-,,,,,,,,,,,,,,,
,,,34,出資金,出資金,"13,480,000","13,480,000",0,100.0,,,,,,,,,,,,,,,
,,,35,長期前払費用,長期前払費用,"3,410,924","5,044,656","▲1,633,732",67.6,,,,,,,,,,,,,,,
,,,36,保証金,保証金,"31,255,050","31,095,000","160,050",100.5,,,,,,,,,,,,,,,
,,,37,敷金,敷金,"37,341,300","37,779,700","▲438,400",98.8,,,,,,,,,,,,,,,
,,,38,保険積立金,保険積立金,"403,044,482","429,107,459","▲26,062,977",93.9,,,,,,,,,,,,,,,
,,,39,長期貸付金,長期貸付金,"1,420,075,783","1,383,286,171","36,789,612",102.7,,,,,,,,,,,,,,,
,,,40,賃借権利金,賃借権利金,"2,294,201","2,320,744","▲26,543",98.9,,,,,,,,,,,,,,,
,,,41,資産の部計,資産の部計,"14,972,732,245","12,835,665,065","2,137,067,180",116.6,,,,,,,,,,,,,,,
