20250722112700270,1,1,001,000028,202507,櫻金属工業(株),櫻金属工業(株),2345,令5.4.28,令5.4.28,令5.8.31,令5.8.31,5610000,5610000,みずほ,みずほ,調布千川,調布千川,,,,
20250722112700270,1,2,001,000028,202507,ホクダイ(株),ホクダイ(株),2346,令5.2.28,令5.2.28,令5.6.30,令5.6.30,1673760,1673760,北海道銀行,北海道銀行,早来,早来,,,,
20250722112700270,1,3,001,000028,202507,ホクダイ(株),ホクダイ(株),2346,令5.3.31,令5.3.31,令5.7.31,令5.7.31,16669070,16669070,北海道銀行,北海道銀行,早来,早来,,,,
